poi,presenze,year,month,day,doy,dow,week,hour,holiday,festive,temperature,humidity,pressure,wind,rain
42,1,2014,3,12,71,3,11,0,0,0,14.5,45.47,1027.19,4.5,0.04
42,2,2014,3,12,71,3,11,1,0,0,16.44,38.51,1025.28,4.81,0.04
42,1,2014,3,12,71,3,11,2,0,0,15.36,41.52,1025.09,3.52,0.04
42,1,2014,3,13,72,4,11,0,0,0,14.26,48.06,1025.26,3.81,0.32
42,3,2014,3,13,72,4,11,1,0,0,16.77,41.87,1023.49,4.33,0.34
42,1,2014,3,13,72,4,11,2,0,0,15.93,44.74,1022.54,3.54,0.52
42,2,2014,3,14,73,5,11,0,0,0,12.76,59.46,1023.52,2.95,0.11
42,4,2014,3,14,73,5,11,1,0,0,16.86,46.63,1020.67,4.47,0.16
42,1,2014,3,14,73,5,11,2,0,0,15.85,49.75,1019.42,3.77,0.16
42,2,2014,3,15,74,6,11,0,1,0,12.63,64.07,1017.55,3.17,0.07
42,4,2014,3,15,74,6,11,1,1,0,15.85,54.26,1013.78,4.72,0.09
42,3,2014,3,15,74,6,11,2,1,0,14.31,59.86,1011.58,3.84,0.11
42,3,2014,3,16,75,7,11,0,1,0,13.59,65.81,1014.39,4.03,0.0
42,4,2014,3,16,75,7,11,1,1,0,16.75,57.76,1013.77,5.03,0.01
42,2,2014,3,16,75,7,11,2,1,0,15.52,62.36,1014.13,3.59,0.01
42,3,2014,3,17,76,1,12,1,0,0,16.37,64.72,1017.2,4.0,0.04
42,1,2014,3,18,77,2,12,0,0,0,13.29,71.41,1016.99,2.87,0.08
42,2,2014,3,18,77,2,12,1,0,0,16.19,64.83,1015.17,5.2,0.09
42,1,2014,3,18,77,2,12,2,0,0,15.26,68.3,1012.76,4.0,0.08
42,1,2014,3,19,78,3,12,0,0,0,14.49,70.55,1019.01,4.28,0.02
42,2,2014,3,19,78,3,12,1,0,0,16.84,62.62,1019.06,4.79,0.03
42,2,2014,3,19,78,3,12,2,0,0,15.96,64.87,1019.06,3.0,0.04
42,1,2014,3,20,79,4,12,0,0,0,13.35,71.24,1024.7,3.19,0.03
42,2,2014,3,20,79,4,12,1,0,0,17.62,57.86,1021.17,5.38,0.03
42,1,2014,3,20,79,4,12,2,0,0,16.12,61.66,1020.82,3.7,0.03
42,1,2014,3,21,80,5,12,0,0,0,11.11,76.95,1020.04,1.85,0.01
42,2,2014,3,21,80,5,12,1,0,0,17.46,56.1,1016.37,5.43,0.02
42,2,2014,3,21,80,5,12,2,0,0,15.66,63.81,1016.69,3.82,0.07
42,1,2014,3,22,81,6,12,0,1,0,13.73,77.4,1014.06,4.29,1.54
42,4,2014,3,22,81,6,12,1,1,0,15.06,70.91,1011.7,5.14,1.88
42,4,2014,3,22,81,6,12,2,1,0,13.55,77.33,1009.77,4.9,3.0
42,1,2014,3,23,82,7,12,0,1,0,12.12,82.86,1001.27,7.89,10.61
42,3,2014,3,23,82,7,12,1,1,0,12.82,74.08,1000.56,8.71,11.56
42,3,2014,3,23,82,7,12,2,1,0,10.45,73.51,1000.69,8.28,12.56
42,2,2014,3,24,83,1,13,1,0,0,11.05,57.05,1005.8,8.13,2.0
